datetime,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarenergy,moonphase,conditions,day_of_year_sin,day_of_year_cos
2020-01-01,17.4,79.9,0.198,4.17,rain,14.8,10.3,136.1,1023.8,83.9,5.7,4.6,0.19,Rain,0.017201575418260506,0.9998520419557735
2020-01-02,18.4,82.5,0.198,8.33,rain,21.6,15.7,92.7,1022.2,70.7,5.3,6.1,0.22,Rain,0.03439806061360801,0.9994082116062598
2020-01-03,18.5,78.0,0.8,33.33,rain,29.9,19.4,130.2,1020.2,73.2,8.9,8.1,0.25,Rain,0.051584366869408364,0.9986686402879997
2020-01-04,19.2,87.3,6.948,8.33,rain,30.2,21.4,102.8,1018.5,67.2,6.7,7.0,0.29,Rain,0.06875540848113941,0.9976335468520451
2020-01-05,19.2,88.1,2.969,8.33,rain,34.9,16.6,128.5,1017.4,69.9,6.0,9.7,0.32,Rain,0.08590610426133272,0.9963032375991965
2020-01-06,19.0,81.2,0.7,16.67,rain,40.3,23.2,125.5,1016.0,58.1,7.5,10.6,0.35,Rain,0.10303137904317879,0.9946781061893646
2020-01-07,19.9,87.4,2.869,8.33,rain,18.4,13.0,96.7,1016.2,70.3,5.6,6.2,0.38,Rain,0.1201261651823505,0.9927586335250793
2020-01-08,18.9,77.0,1.2,29.17,rain,32.4,25.0,127.2,1016.4,44.0,8.0,9.7,0.42,Rain,0.13718540405660057,0.9905453876091833
2020-01-09,19.0,76.3,0.001,4.17,rain,32.4,16.6,119.2,1014.7,68.1,8.3,11.8,0.45,Rain,0.1542040475626894,0.988039023376751
2020-01-10,18.8,74.5,0.0,0.0,noprecip,33.8,19.4,136.6,1013.1,52.5,8.5,10.7,0.48,Cloudy,0.17117705961019986,0.985240282501282
2020-01-11,17.6,79.7,1.6,37.5,rain,50.4,26.8,78.6,1014.1,73.0,7.8,10.2,0.5,Rain,0.18809941761179758,0.9821499931752291
2020-01-12,10.6,68.8,0.933,4.17,rain,21.2,19.4,23.0,1017.7,88.9,10.0,4.1,0.55,Rain,0.20496611396949532,0.9787690698649216
2020-01-13,14.3,86.7,0.297,4.17,rain,17.6,10.3,32.8,1015.7,81.5,5.0,4.5,0.59,Rain,0.22177215755648186,0.975098513039961
2020-01-14,17.2,87.9,0.297,4.17,rain,25.9,11.1,330.0,1014.7,75.0,3.3,6.0,0.62,Rain,0.23851257519407648,0.9711394088771653
2020-01-15,19.0,80.2,0.4,16.67,rain,49.0,25.9,133.1,1012.9,62.3,8.4,8.6,0.66,Rain,0.2551824131233728,0.9668929289391521
2020-01-16,18.9,78.8,3.4,33.33,rain,38.9,22.3,103.4,1014.9,70.5,9.1,8.9,0.69,Rain,0.2717767384711357,0.9623603298276545
2020-01-17,12.3,77.7,0.002,4.17,rain,19.8,22.3,39.0,1019.1,86.6,8.9,3.0,0.75,Rain,0.2882906407095177,0.9575429528116719
2020-01-18,13.5,91.0,0.397,4.17,rain,16.2,13.0,42.8,1017.9,78.1,4.6,3.4,0.76,Rain,0.3047192331091634,0.9524422234305676
2020-01-19,11.3,79.7,0.303,8.33,rain,22.0,17.5,22.0,1020.4,81.6,9.2,3.1,0.8,Rain,0.321057654185271,0.9470596510722283
2020-01-20,12.6,89.5,0.3,12.5,rain,13.7,10.3,34.3,1020.3,75.1,5.7,3.9,0.83,Rain,0.3373010691361842,0.9413968285264122
2020-01-21,16.0,88.5,0.099,4.17,rain,27.0,13.9,96.5,1018.9,76.5,3.1,6.4,0.87,Rain,0.3534446712740877,0.9354554315134164
2020-01-22,18.3,86.5,0.099,4.17,rain,32.0,13.9,190.6,1016.1,82.0,4.7,8.0,0.9,Rain,0.3694836834473831,0.9292372181882051
2020-01-23,20.0,81.7,0.5,20.83,rain,34.2,22.3,126.5,1014.0,75.5,7.9,7.9,0.94,Rain,0.38541335945432564,0.9227440286201427
2020-01-24,20.6,92.3,6.929,8.33,rain,38.5,20.4,105.4,1013.8,75.1,6.0,4.2,0.98,Rain,0.4012289854475009,0.9159777842484877
2020-01-25,15.3,85.9,58.643,16.67,rain,41.0,26.8,37.6,1014.1,72.2,8.6,3.1,0.0,Rain,0.4169258813287287,0.908940487313808
2020-01-26,8.7,63.2,8.053,4.17,rain,30.2,23.2,18.3,1018.1,69.3,10.0,14.2,0.04,Rain,0.4324994021339788,0.901634220265486
2020-01-27,7.1,60.2,0.0,0.0,noprecip,26.6,16.5,32.4,1016.9,68.5,10.0,12.1,0.07,Cloudy,0.44794493940789115,0.8940611451454876
2020-01-28,7.4,61.4,0.01,4.17,rain,24.5,17.0,23.7,1018.8,94.2,10.0,10.4,0.11,Rain,0.4632579225674917,0.88622350294858
2020-01-29,7.5,62.3,0.3,8.33,rain,25.2,14.8,358.9,1022.3,83.1,9.7,8.6,0.14,Rain,0.4784338202547012,0.8781236129591848
2020-01-30,7.3,63.2,0.0,0.0,noprecip,22.7,12.1,17.1,1021.9,16.5,9.1,16.7,0.17,Clear,0.49346814167723735,0.8697638720650646
2020-01-31,9.8,66.2,0.0,0.0,noprecip,23.8,13.0,115.5,1020.2,35.2,8.7,12.5,0.2,Cloudy,0.5083564379375122,0.8611467540480452
2020-02-01,13.1,82.7,0.099,4.17,rain,14.4,9.4,17.5,1018.9,82.5,6.3,3.6,0.24,Rain,0.5230943033491326,0.8522748088519838
2020-02-02,15.6,87.9,0.1,4.17,rain,20.9,7.6,22.1,1018.4,84.1,3.3,6.8,0.25,Rain,0.5376773767406141,0.8431506618282
2020-02-03,16.4,92.9,0.793,8.33,rain,40.3,24.1,24.1,1017.2,78.9,4.9,4.1,0.3,Rain,0.5521013427459208,0.8337770129585915
2020-02-04,12.6,90.9,4.252,12.5,rain,21.6,17.5,18.8,1019.2,70.5,8.7,2.2,0.33,Rain,0.5663619330814524,0.8241566360566663
2020-02-05,13.2,93.1,1.592,8.33,rain,15.5,11.2,37.9,1018.2,77.7,7.4,2.9,0.37,Rain,0.580454927809098,0.8142923779467267
2020-02-06,15.4,90.9,0.099,4.17,rain,19.4,10.0,314.4,1016.2,80.3,4.8,7.1,0.4,Rain,0.5943761565849831,0.804187157621448
2020-02-07,17.4,92.4,0.696,8.33,rain,26.6,14.5,327.2,1018.5,83.2,4.6,1.8,0.43,Rain,0.6081214998935418,0.7938439653781019
2020-02-08,15.6,88.3,2.969,12.5,rain,25.9,20.4,44.8,1021.8,82.9,7.8,2.6,0.46,Rain,0.6216868902665479,0.7832658619336791
2020-02-09,12.0,82.0,1.152,8.33,rain,25.9,18.4,28.8,1025.5,80.3,9.1,3.9,0.5,Rain,0.6350683134867438,0.7724559775191742
2020-02-10,12.4,78.0,0.099,4.17,rain,16.9,12.1,65.8,1021.7,77.6,8.3,9.3,0.53,Rain,0.6482618097757122,0.7614175109532997
2020-02-11,16.3,85.5,0.1,4.17,rain,23.8,14.8,102.1,1018.0,80.7,4.7,8.0,0.57,Rain,0.6612634749656386,0.7501537286959042
2020-02-12,18.4,88.9,0.397,12.5,rain,19.1,12.9,125.2,1015.1,78.3,4.0,5.9,0.6,Rain,0.6740694616546161,0.7386679638813748
2020-02-13,20.3,94.6,3.07,8.33,rain,29.5,14.8,107.6,1011.1,92.7,2.9,6.9,0.64,Rain,0.6866759803451553,0.726963615332308
2020-02-14,21.7,90.1,0.7,8.33,rain,24.5,22.3,103.2,1007.6,88.1,5.4,14.1,0.67,Rain,0.6990793005655562,0.7150441465537444
2020-02-15,22.0,84.9,0.002,4.17,rain,53.6,19.4,99.6,1009.4,68.6,7.2,11.5,0.71,Rain,0.7112757519738152,0.7029130847082615
2020-02-16,8.0,49.8,0.23,8.33,rain,40.3,28.6,26.0,1020.9,63.5,10.0,14.1,0.75,Rain,0.7232617254437388,0.6905740195722294
2020-02-17,5.8,46.3,0.0,0.0,noprecip,28.8,18.6,38.8,1026.1,75.4,10.0,13.0,0.78,Cloudy,0.7350336741329412,0.6780306024735382
2020-02-18,5.5,46.1,0.0,0.0,noprecip,19.1,16.6,84.9,1024.8,59.6,10.1,15.4,0.81,Cloudy,0.746588114532413,0.6652865452111116
2020-02-19,11.1,64.3,0.0,0.0,noprecip,16.9,10.3,62.2,1022.3,72.5,9.2,13.5,0.85,Cloudy,0.7579216274973472,0.6523456189565257
2020-02-20,16.0,85.3,0.099,4.17,rain,16.2,12.1,304.1,1022.1,76.0,3.8,6.0,0.88,Rain,0.7690308592589181,0.6392116531380588
2020-02-21,16.8,86.7,0.099,4.17,rain,30.2,13.9,288.3,1025.0,57.4,2.8,7.4,0.91,Rain,0.7799125224167177,0.6258885343075018
2020-02-22,17.1,86.0,0.1,4.17,rain,22.0,11.1,290.5,1025.5,56.4,3.6,15.4,0.95,Rain,0.7905633969115482,0.612380204990065
2020-02-23,16.1,78.5,0.0,0.0,noprecip,28.1,13.0,125.9,1022.6,36.2,6.1,17.1,0.0,Cloudy,0.8009803309782905,0.5986906625177214
2020-02-24,17.1,77.0,0.0,0.0,noprecip,31.7,18.6,121.8,1018.3,36.4,7.6,14.0,0.02,Cloudy,0.8111602420785621,0.5848239578463322
2020-02-25,18.2,80.7,0.0,0.0,noprecip,29.2,14.8,119.7,1016.5,55.9,7.4,11.5,0.05,Cloudy,0.8211001178128892,0.5707841943569036
2020-02-26,18.2,78.6,0.1,4.17,rain,22.0,14.8,108.5,1016.9,49.1,7.0,10.9,0.08,Rain,0.8307970168121247,0.5565755266413303
2020-02-27,18.2,71.5,0.6,12.5,rain,25.9,16.6,124.8,1016.8,55.9,9.5,11.8,0.12,Rain,0.8402480696078469,0.5422021592729844
2020-02-28,18.8,74.2,0.099,4.17,rain,32.0,17.5,131.6,1015.2,53.7,9.5,11.8,0.15,Rain,0.8494504794814806,0.527668345562516
2020-02-29,19.4,77.9,1.0,25.0,rain,26.6,16.6,127.2,1012.9,57.7,8.7,9.3,0.18,Rain,0.8584015232918917,0.512978386299228
2020-03-01,20.6,81.9,0.3,12.5,rain,28.1,20.4,116.6,1012.6,73.6,8.0,10.5,0.22,Rain,0.8670985522812081,0.4981366284784055
2020-03-02,20.5,83.6,0.198,4.17,rain,37.4,20.6,125.8,1013.2,81.1,9.3,9.1,0.25,Rain,0.8755389928586302,0.4831474640149687
2020-03-03,20.6,89.1,98.181,16.67,rain,34.6,21.3,113.0,1013.5,73.2,8.1,5.6,0.25,Rain,0.8837203473619977,0.4680153284438345
2020-03-04,16.9,87.2,19.317,16.67,rain,41.8,31.7,38.2,1016.7,75.3,9.2,4.2,0.32,Rain,0.8916401947968874,0.45274469960737107
2020-03-05,13.9,83.9,0.502,8.33,rain,18.4,17.5,36.9,1018.6,80.5,9.8,3.2,0.35,Rain,0.8992961915530253,0.4373400963303323
2020-03-06,16.4,82.7,0.101,4.17,rain,23.8,15.7,95.6,1014.5,82.2,6.7,12.2,0.38,Rain,0.9066860720977985,0.4218060770826634
2020-03-07,18.8,84.4,0.199,8.33,rain,23.8,12.1,118.1,1010.9,82.3,5.7,15.2,0.42,Rain,0.9138076496466615,0.40614723863057883
2020-03-08,21.0,82.3,0.099,4.17,rain,21.6,16.6,105.6,1005.3,50.4,5.5,20.0,0.45,Rain,0.9206588168102428,0.3903682146763026
2020-03-09,21.4,73.7,0.0,0.0,noprecip,26.6,12.1,70.6,1004.2,29.0,5.7,22.1,0.48,Cloudy,0.9272375462179537,0.374473674486883
2020-03-10,16.8,65.0,1.4,16.67,rain,31.0,25.0,37.8,1012.4,80.5,8.5,5.7,0.5,Rain,0.9335418911179212,0.35846832151248087
2020-03-11,16.4,69.3,0.0,0.0,noprecip,14.0,16.6,119.2,1014.3,75.1,8.6,6.1,0.55,Cloudy,0.9395699859530622,0.342356891994542
2020-03-12,19.6,84.0,0.099,4.17,rain,24.8,13.0,110.8,1011.8,86.6,5.4,13.7,0.58,Rain,0.945320046913132,0.3261441535642696
2020-03-13,22.1,85.6,0.201,8.33,rain,25.2,16.6,90.1,1012.6,80.0,5.1,12.4,0.62,Rain,0.9507903724625832,0.3098349038318025
2020-03-14,17.8,75.1,0.51,8.33,rain,27.0,18.4,40.2,1016.8,92.8,9.1,4.1,0.65,Rain,0.9559793438440766,0.2934339689665273
2020-03-15,16.4,79.3,0.8,25.0,rain,15.5,10.3,54.5,1017.4,90.0,7.4,4.7,0.69,Rain,0.9608854255574977,0.27694620226893646
2020-03-16,19.0,92.4,0.199,12.5,rain,23.0,9.4,71.2,1015.4,86.0,2.6,8.5,0.75,Rain,0.9655071658143364,0.2603764827344581
2020-03-17,20.7,93.8,3.063,12.5,rain,31.0,19.4,61.3,1014.9,90.9,3.2,8.6,0.75,Rain,0.969843196967294,0.24372971360968387
2020-03-18,17.5,92.7,11.892,8.33,rain,26.6,20.4,41.5,1013.4,78.0,7.0,3.2,0.79,Rain,0.9738922359149924,0.22701082094141847
2020-03-19,17.0,85.7,1.745,8.33,rain,23.0,15.7,358.5,1014.0,84.6,8.2,4.0,0.82,Rain,0.9776530844816641,0.2102247521189836
2020-03-20,17.9,79.1,0.2,8.33,rain,20.5,18.4,94.5,1013.2,80.5,8.7,8.9,0.86,Rain,0.981124629771712,0.19337647441020586
2020-03-21,21.0,84.1,0.004,8.33,rain,27.4,17.5,129.0,1011.8,74.0,6.2,11.5,0.89,Rain,0.984305844499033,0.17647097349152166
2020-03-22,22.7,85.5,2.977,12.5,rain,24.8,19.4,129.3,1011.7,80.3,6.8,12.1,0.93,Rain,0.9871957872910085,0.15951325197263655
2020-03-23,22.2,86.6,2.078,8.33,rain,29.5,14.7,122.5,1012.3,63.8,6.5,10.6,0.96,Rain,0.9897936029670716,0.14250832791617088
2020-03-24,21.2,78.4,0.396,4.17,rain,34.9,22.3,130.8,1011.6,50.6,8.2,16.1,0.0,Rain,0.992098522791769,0.12546123335273648
2020-03-25,22.0,81.0,7.0,54.17,rain,40.7,25.9,145.9,1009.7,62.0,9.2,13.8,0.03,Rain,0.9941098647022418,0.10837701279187609
2020-03-26,22.7,80.2,0.989,4.17,rain,31.7,23.2,138.8,1008.9,75.6,10.0,16.9,0.06,Rain,0.9958270335100595,0.09126072172931188
2020-03-27,23.1,80.9,0.2,8.33,rain,24.1,18.4,123.2,1008.6,74.5,9.5,17.8,0.1,Rain,0.9972495210773451,0.07411742515094437
2020-03-28,22.5,81.8,4.6,45.83,rain,38.5,22.3,123.8,1009.8,79.3,8.4,3.9,0.13,Rain,0.998376906467142,0.056952196034039754
2020-03-29,22.4,86.8,0.002,4.17,rain,31.0,25.9,127.1,1008.0,87.1,7.8,8.2,0.16,Rain,0.9992088560679753,0.03977011384605572
2020-03-30,18.5,86.9,0.001,4.17,rain,32.8,26.8,63.3,1009.1,88.0,8.2,5.4,0.2,Rain,0.9997451236925734,0.022576263041545485
2020-03-31,15.7,84.0,0.793,4.17,rain,25.2,19.4,30.1,1012.2,87.9,8.6,5.4,0.23,Rain,0.9999855506507186,0.005375731557583884
2020-04-01,15.9,80.7,0.001,4.17,rain,18.0,13.0,32.4,1012.9,84.0,9.2,7.0,0.25,Rain,0.9999300657962057,-0.011826390691832589
2020-04-02,18.5,92.2,0.796,12.5,rain,14.8,8.5,42.6,1012.9,84.8,5.3,4.9,0.3,Rain,0.9995786855478958,-0.029025013321975237
2020-04-03,20.1,93.9,1.401,8.33,rain,24.1,19.4,43.6,1013.2,85.4,4.2,6.4,0.33,Rain,0.9989315138848577,-0.046215046983708354
2020-04-04,16.8,86.0,2.406,12.5,rain,27.4,20.5,29.7,1016.3,80.3,9.0,4.0,0.37,Rain,0.9979887423155984,-0.06339140486951038
2020-04-05,13.5,74.4,0.409,8.33,rain,23.4,16.6,9.0,1018.5,88.3,10.0,4.6,0.4,Rain,0.9967506498213929,-0.08054900421874167
2020-04-06,14.9,85.2,1.397,8.33,rain,22.7,10.3,3.2,1016.7,81.9,9.0,8.4,0.44,Rain,0.9952176027737294,-0.09768276782171598
2020-04-07,15.6,78.8,0.606,8.33,rain,21.6,11.2,7.6,1015.6,65.9,8.6,11.1,0.47,Rain,0.9933900548258936,-0.11478762552212701
2020-04-08,17.6,84.8,4.063,4.17,rain,15.5,9.4,274.3,1016.0,60.7,5.5,10.9,0.5,Rain,0.9912685467787256,-0.13185851571739118
2020-04-09,18.6,78.7,0.0,0.0,noprecip,23.0,13.0,207.5,1016.4,51.6,5.8,12.5,0.54,Cloudy,0.9888537064205885,-0.1488903868564548
2020-04-10,20.0,79.2,0.1,4.17,rain,28.1,15.9,96.3,1014.7,73.9,6.7,13.9,0.57,Rain,0.986146248341595,-0.16587819893463143
2020-04-11,21.9,81.8,1.9,12.5,rain,27.4,13.9,103.8,1013.3,65.0,5.8,14.0,0.6,Rain,0.9831469737221499,-0.1828169249850199
2020-04-12,16.6,80.1,25.821,12.5,rain,43.9,25.9,19.6,1018.4,60.0,9.0,12.7,0.64,Rain,0.9798567700958665,-0.1997015525660636
2020-04-13,13.4,82.2,7.028,12.5,rain,30.6,15.7,313.6,1020.9,70.3,9.7,15.8,0.67,Rain,0.9762766110869321,-0.21652708524481437
2020-04-14,13.1,70.3,0.0,0.0,noprecip,18.7,13.8,204.6,1017.1,33.5,9.2,21.5,0.7,Cloudy,0.9724075561219968,-0.23328854407545518
2020-04-15,16.7,74.3,0.0,0.0,noprecip,33.8,19.4,108.0,1014.1,71.6,7.0,20.2,0.75,Cloudy,0.9682507501166718,-0.2499809690726521
2020-04-16,20.5,85.3,0.4,12.5,rain,33.8,13.0,107.6,1011.2,81.1,5.0,10.4,0.77,Rain,0.9638074231367307,-0.26659942067929354
2020-04-17,22.5,89.7,0.201,12.5,rain,30.6,17.5,130.6,1011.3,81.4,6.9,9.4,0.8,Rain,0.9590788900341131,-0.28313898122818354
2020-04-18,22.6,80.5,0.495,4.17,rain,31.3,21.4,125.0,1010.2,65.7,8.6,15.2,0.84,Rain,0.9540665500578387,-0.2995947563972602
2020-04-19,23.6,86.1,0.0,0.0,noprecip,25.9,18.5,104.5,1009.3,76.0,7.3,15.1,0.87,Cloudy,0.9487718864399473,-0.31596187665790293
2020-04-20,23.6,82.2,0.099,4.17,rain,27.7,18.4,124.9,1009.8,69.9,8.4,13.8,0.9,Rain,0.9431964659565866,-0.33223549871590435
2020-04-21,24.1,84.5,0.099,4.17,rain,33.5,20.5,111.5,1008.9,76.7,7.2,18.3,0.94,Rain,0.9373419384643772,-0.3484108069446808
2020-04-22,22.4,87.4,1.088,8.33,rain,31.0,18.5,85.1,1011.1,73.7,7.9,7.9,0.97,Rain,0.9312100364121947,-0.3644830148102912
2020-04-23,17.6,82.3,4.065,8.33,rain,27.7,24.1,40.2,1015.8,79.5,9.8,3.7,0.0,Rain,0.9248025743285089,-0.38044736628785164
2020-04-24,15.0,84.7,21.905,12.5,rain,26.6,18.4,356.9,1020.6,70.1,9.1,4.9,0.04,Rain,0.9181214482844365,-0.39629913726891813
2020-04-25,15.0,79.4,1.586,12.5,rain,21.6,9.3,320.2,1019.7,65.7,9.2,7.9,0.07,Rain,0.9111686353326631,-0.41203363695942635
2020-04-26,16.5,81.0,0.495,8.33,rain,27.4,13.9,303.5,1019.9,60.6,9.0,8.5,0.11,Rain,0.9039461929224011,-0.42764620926777464
2020-04-27,16.2,68.7,0.099,4.17,rain,25.9,13.9,291.4,1018.2,36.7,8.6,24.7,0.14,Rain,0.8964562582905575,-0.44313223418263453
2020-04-28,17.0,62.9,0.0,0.0,noprecip,16.2,13.9,121.1,1016.2,31.6,9.1,25.3,0.18,Cloudy,0.8887010478292915,-0.45848712914008766
2020-04-29,19.1,69.2,1.2,8.33,rain,20.2,14.2,115.6,1015.1,27.0,8.3,22.2,0.21,Rain,0.8806828564301475,-0.47370635037968
2020-04-30,20.9,76.7,0.099,4.17,rain,25.6,13.9,117.8,1013.7,49.1,8.6,17.9,0.25,Rain,0.8724040568049612,-0.48878539428899265
2020-05-01,22.1,87.6,11.093,8.33,rain,34.2,13.0,98.6,1010.9,68.3,7.3,14.1,0.25,Rain,0.8638670987837349,-0.503719798736334
2020-05-02,22.4,76.8,0.0,0.0,noprecip,25.6,16.6,130.7,1008.5,54.0,7.6,15.7,0.32,Cloudy,0.8550745085896932,-0.518505144391157
2020-05-03,24.1,79.8,0.0,0.0,noprecip,25.6,16.6,129.3,1007.9,70.8,9.0,19.5,0.35,Cloudy,0.8460288880917339,-0.533137056031809
2020-05-04,24.9,77.4,0.0,0.0,noprecip,29.9,25.9,119.7,1007.3,59.0,9.0,21.8,0.39,Cloudy,0.8367329140344921,-0.5476112038402312
2020-05-05,25.3,80.1,0.0,0.0,noprecip,32.8,21.4,113.0,1006.3,68.8,8.6,24.0,0.42,Cloudy,0.8271893372462497,-0.5619233046832195
2020-05-06,24.9,80.9,0.0,0.0,noprecip,30.2,21.4,105.2,1005.1,58.6,9.8,24.7,0.46,Cloudy,0.8174009818249189,-0.5760691233798758
2020-05-07,25.6,82.9,0.0,0.0,noprecip,33.1,18.4,96.0,1004.4,79.5,9.1,24.6,0.5,Cloudy,0.8073707443023492,-0.5900444739548627
2020-05-08,25.2,81.3,0.0,0.0,noprecip,28.8,30.5,101.0,1004.3,63.7,9.6,23.9,0.52,Cloudy,0.7971015927871943,-0.6038452208771035
2020-05-09,24.5,80.2,8.015,8.33,rain,23.8,17.5,97.7,1006.4,52.9,8.5,25.7,0.56,Rain,0.7865965660866021,-0.6174672802835514
2020-05-10,24.7,72.4,0.099,4.17,rain,23.4,19.4,100.3,1006.8,44.2,8.6,25.4,0.59,Rain,0.7758587728069828,-0.6309066211876704
2020-05-11,25.4,79.5,1.0,4.17,rain,31.0,20.5,114.4,1008.1,70.4,9.5,20.1,0.62,Rain,0.7648913904341226,-0.6441592666722685
2020-05-12,23.4,78.9,36.158,8.33,rain,25.9,13.9,84.4,1010.5,66.0,9.7,6.9,0.66,Rain,0.753697664392914,-0.6572212950663319
2020-05-13,23.7,81.1,8.212,4.17,rain,35.6,23.1,147.2,1009.4,70.0,8.9,20.3,0.69,Rain,0.742280907086982,-0.6700888411055113
2020-05-14,22.4,73.2,3.063,4.17,rain,37.1,18.6,122.2,1007.2,61.5,9.7,22.4,0.75,Rain,0.7306444969184916,-0.6827580970759147
2020-05-15,24.8,78.4,0.0,0.0,noprecip,50.0,23.2,123.0,1004.1,68.4,9.5,23.0,0.75,Cloudy,0.7187918772884232,-0.6952253139408722
2020-05-16,24.5,79.2,2.968,4.17,rain,28.8,21.4,115.1,1004.2,62.7,9.4,21.1,0.79,Rain,0.7067265555776158,-0.7074868024503348
2020-05-17,24.0,76.1,50.4,50.0,rain,29.5,35.3,106.1,1003.8,63.9,9.9,13.1,0.82,Rain,0.6944521021088763,-0.719538934232584
2020-05-18,23.6,74.9,2.375,8.33,rain,27.0,17.7,79.3,1003.2,54.6,10.9,14.2,0.85,Rain,0.6819721490904629,-0.7313781428679254
2020-05-19,25.2,80.3,0.992,4.17,rain,26.3,18.4,105.9,1003.2,67.0,8.5,16.6,0.88,Rain,0.6692903895412567,-0.7430009249440493
2020-05-20,25.7,70.6,0.0,0.0,noprecip,24.5,14.8,127.9,1001.2,52.9,10.9,23.3,0.92,Cloudy,0.6564105761979381,-0.7544038410927472
2020-05-21,25.0,62.1,0.0,0.0,noprecip,27.0,12.1,165.6,999.8,60.7,11.7,26.2,0.95,Cloudy,0.6433365204044917,-0.765583517007675
2020-05-22,25.4,69.8,1.2,8.33,rain,38.9,15.7,82.2,1002.8,72.1,9.7,17.4,0.98,Rain,0.6300720909843687,-0.7765366444428655
2020-05-23,24.9,80.7,3.958,4.17,rain,16.9,13.9,81.2,1005.9,67.2,8.8,10.2,0.0,Rain,0.6166212130956382,-0.7872599821916922
2020-05-24,24.8,77.5,0.297,4.17,rain,25.6,19.4,96.0,1006.1,51.0,9.2,14.2,0.05,Rain,0.6029878670694714,-0.7977503570459932
2020-05-25,25.3,73.6,8.7,12.5,rain,46.4,22.2,98.5,1005.5,50.0,9.2,22.4,0.09,Rain,0.5891760872322963,-0.8080046647350754
2020-05-26,22.5,71.3,3.067,8.33,rain,32.8,16.6,38.2,1007.8,65.8,10.0,16.0,0.12,Rain,0.5751899607119775,-0.8180198708443175
2020-05-27,22.3,79.5,6.01,8.33,rain,22.3,17.7,314.6,1010.3,57.5,9.6,15.2,0.16,Rain,0.5610336262283677,-0.8277930117131022
2020-05-28,22.8,73.4,0.1,4.17,rain,22.7,12.1,170.1,1009.4,57.6,8.9,15.1,0.19,Rain,0.5467112728685939,-0.8373211953118121
2020-05-29,24.2,73.5,0.297,8.33,rain,32.4,18.4,139.3,1006.9,48.5,8.7,16.7,0.23,Rain,0.5322271388474397,-0.8466016020976267
2020-05-30,24.3,70.7,0.1,4.17,rain,30.2,15.6,111.7,1007.0,48.0,10.1,21.7,0.25,Rain,0.5175855102531889,-0.8556314858488706
2020-05-31,25.0,71.1,0.396,4.17,rain,23.8,18.4,113.7,1006.9,58.3,9.4,23.7,0.3,Rain,0.5027907197793043,-0.8644081744776648
2020-06-01,24.2,71.4,1.187,4.17,rain,28.1,21.3,122.4,1005.6,41.0,10.0,24.1,0.34,Rain,0.4878471454423119,-0.8729290708206411
2020-06-02,23.8,69.5,1.979,4.17,rain,37.1,16.5,126.7,1004.1,48.8,10.2,25.2,0.37,Rain,0.47275920928627757,-0.881191653407483
2020-06-03,24.7,69.5,0.6,8.33,rain,24.8,22.3,90.2,1003.4,35.2,9.5,25.1,0.41,Rain,0.4575313760742512,-0.8891934772070711
2020-06-04,25.1,69.1,0.2,8.33,rain,31.7,22.3,114.0,1002.9,60.9,9.7,21.8,0.44,Rain,0.44216815196707204,-0.8969321743510065
2020-06-05,25.0,69.6,0.0,0.0,noprecip,25.2,15.7,86.4,1002.9,49.4,10.5,21.7,0.48,Cloudy,0.42667408318992467,-0.9044054548343001
2020-06-06,25.3,70.9,0.0,0.0,noprecip,22.7,13.9,96.6,1002.4,47.0,11.2,20.9,0.5,Cloudy,0.4110537546870351,-0.9116111071930239
2020-06-07,23.8,61.0,0.0,0.0,noprecip,33.8,16.6,171.8,1000.5,48.3,10.2,25.0,0.55,Cloudy,0.3953117887649151,-0.9185469991587165
2020-06-08,23.0,54.4,0.0,0.0,noprecip,36.0,18.5,209.6,1000.4,60.0,10.3,25.6,0.58,Cloudy,0.37945284372454435,-0.925211078289358
2020-06-09,23.6,61.8,0.1,4.17,rain,25.9,20.6,110.1,1003.3,77.1,9.8,22.0,0.61,Rain,0.36348161248290634,-0.9316013725767187
2020-06-10,24.7,73.0,0.495,4.17,rain,24.8,29.5,139.6,1005.1,50.8,9.9,18.0,0.64,Rain,0.3474028211842774,-0.9377159910299093
2020-06-11,24.6,78.1,4.328,8.33,rain,33.1,29.7,96.8,1004.2,63.7,9.8,19.2,0.67,Rain,0.3312212278016865,-0.9435531242349544
2020-06-12,24.0,72.6,1.01,8.33,rain,29.9,20.4,129.4,1001.7,60.0,9.9,16.6,0.71,Rain,0.31494162072895193,-0.9491110448902284
2020-06-13,24.9,72.0,8.7,8.33,rain,28.8,24.1,114.7,1001.3,47.1,10.5,22.8,0.75,Rain,0.2985688173637202,-0.9543881083175908
2020-06-14,25.0,81.4,0.001,4.17,rain,39.2,20.4,71.9,1004.0,65.7,9.8,9.2,0.77,Rain,0.2821076626819194,-0.9593827529490743
2020-06-15,24.3,84.3,18.08,12.5,rain,23.0,15.7,90.3,1006.1,65.7,8.7,8.5,0.8,Rain,0.26556302780405594,-0.9640935007889755
2020-06-16,24.9,73.8,1.1,12.5,rain,31.0,24.1,121.7,1004.2,54.8,10.9,22.3,0.84,Rain,0.24893980855376657,-0.9685189578512204
2020-06-17,24.6,70.4,1.4,16.67,rain,34.2,21.4,130.3,1002.4,68.6,11.7,22.2,0.87,Rain,0.23224292400907015,-0.9726578145718654
